model,dimension,category,mean,std,variance,min,max,n
UG-1,total,total,11228568.663947059,508679.11428230564,258754441307.03098,10095822.662637562,12576156.596713783,30
UG-1,vaccine,DT,170374.466905,59591.10877860532,3551100245.463572,52620.0,266959.0,30
UG-1,vaccine,DTwP,75635.49882100002,44012.00284570174,1937056394.490058,9023.0,161546.30560999998,30
UG-1,vaccine,DTwP-Hib,56112.69266666666,9640.962815678362,92948164.01329286,28728.699999999997,67613.0,30
UG-1,vaccine,HPV,69905.65166810786,35000.579643549536,1225040575.3844543,0.19502161789287759,149244.27500000002,30
UG-1,vaccine,HepB,0.0,0.0,0.0,0.0,0.0,30
UG-1,vaccine,Hexa,100582.06666666667,4307.2351451430595,18552274.595555555,94577.0,104307.0,30
UG-1,vaccine,IPV,2493406.9232837306,341891.704236788,116889937425.93532,1793938.05441,3535598.758819999,30
UG-1,vaccine,OPV,1566926.4621687303,89934.95930995545,8088296906.083342,1400927.1400000001,1727403.5684427216,30
UG-1,vaccine,PCV,1.0434931568575097,0.008598041918084146,7.392632482513211e-05,1.0332275612726327,1.0543900605584937,30
UG-1,vaccine,Penta,4558833.627577666,220088.12230852596,48438781581.29268,4038419.1362600005,4848136.1162600005,30
UG-1,vaccine,Rotavirus,1361656.6933756666,47236.48716351154,2231285719.5485907,1289060.0,1434870.0,30
UG-1,vaccine,TT,96251.64691833334,114807.30199296083,13180716590.902906,0.0,450571.5740699999,30
UG-1,vaccine,Td,678881.8904023332,146116.717622274,21350095168.70736,292102.95626000006,969075.96374,30
UG-1,manufacturer,AJ_Vaccines,1967880.30714657,295758.8055800243,87473271078.12263,1392776.2418821047,2956843.1413794393,30
UG-1,manufacturer,BB_NCIPD,195557.83333333334,8733.014409253097,76265540.67222223,183365.0,203476.0,30
UG-1,manufacturer,Bharat_Biotech,910051.3333333334,38020.87415559452,1445586871.5555558,853580.0,943740.0,30
UG-1,manufacturer,Bilthoven,233714.2271209101,74411.78234970485,5537113352.459846,6472.197930802953,316750.182527895,30
UG-1,manufacturer,Biological_E,668445.3333333334,28283.845538084468,799975918.4222206,625945.0,694313.0,30
UG-1,manufacturer,China_National,680134.8269964774,55562.67615125991,3087210981.089787,556708.2884211036,772478.0,30
UG-1,manufacturer,GSK,735694.6354686993,30138.701212928416,908341310.8021728,677485.6984427215,779500.0,30
UG-1,manufacturer,Haffkine_Bio,80734.7844024576,7267.127084966357,52811136.069051616,64960.0,89320.0,30
UG-1,manufacturer,LG_Chem,2688612.3890162497,140682.96333433493,19791696172.529823,2471700.0,2981650.0,30
UG-1,manufacturer,Merck_Sharp,14885.204936936094,9692.331679848981,93941293.39220418,0.19502161789287759,29400.195021617896,30
UG-1,manufacturer,PT_Bio,1037020.0,45899.13296784593,2106730407.200001,973009.9999999999,1080824.0,30
UG-1,manufacturer,Panacea_Biotec,1785177.0620322681,90458.95185424846,8182821970.56924,1597782.59,1926590.0,30
UG-1,manufacturer,Pfizer,1.0434931568575097,0.008598041918084146,7.392632482513211e-05,1.0332275612726327,1.0543900605584937,30
UG-1,manufacturer,Sanofi,126553.0,5724.164701800022,32766061.533333335,117474.0,131558.0,30
UG-1,manufacturer,Serum_Institute,104106.68333333335,4026.625112844364,16213709.79938889,96738.6,108180.8,30
UG-2,total,total,43710423.37896069,1597209.947358171,2551079615939.8916,38561438.344828375,45557928.60314154,30
UG-2,vaccine,DT,751336.6260716666,74401.37290486635,5535564290.128982,556712.0,852684.0,30
UG-2,vaccine,DTwP,397180.70855633327,105843.91641684932,11202934642.456984,146090.0,630655.5,30
UG-2,vaccine,DTwP-Hib,289340.83104333334,24964.96890392088,623249672.3737365,223643.0,340665.5,30
UG-2,vaccine,HPV,69905.70914569728,35000.476516743714,1225033356.3991284,0.9719562985972351,149244.28565364506,30
UG-2,vaccine,HepB,0.0,0.0,0.0,0.0,0.0,30
UG-2,vaccine,Hexa,556982.3626666667,19791.66841372533,391710138.5988529,501326.0,567490.0,30
UG-2,vaccine,IPV,7937973.586321999,456838.89431532833,208701775359.25174,6822623.722049999,8848010.0,30
UG-2,vaccine,OPV,4734874.41714095,776223.9553508706,602523628860.5504,3241639.3262385027,5735237.0,30
UG-2,vaccine,PCV,3.4190357169096917,0.5456949175318524,0.2977829430200952,2.7952571469735754,4.938771423132954,30
UG-2,vaccine,Penta,26050712.578628667,997562.7831191011,995131506264.3268,23102953.426260002,27011837.5,30
UG-2,vaccine,Rotavirus,794064.3360393334,95065.26962665719,9037405489.18903,536750.0,1019500.0,30
UG-2,vaccine,TT,460792.1584146666,105390.53257954287,11107164357.399685,244165.0,896087.3400000001,30
UG-2,vaccine,Td,1667256.6458956667,92610.53027363073,8576710317.563076,1372044.3599999999,1866459.53374,30
UG-2,manufacturer,AJ_Vaccines,774959.8200312774,185616.8507132281,34453615268.69681,360600.0,918500.0,30
UG-2,manufacturer,BB_NCIPD,389293.8,32943.55776313988,1085277998.0933335,302848.0,439236.0,30
UG-2,manufacturer,Bharat_Biotech,682886.0,59066.76632421992,3488882884.0,603640.0,825820.0,30
UG-2,manufacturer,Bilthoven,404153.35307738936,28090.904857625315,789098935.7201575,360500.0,423950.0,30
UG-2,manufacturer,Biological_E,3662290.6666666665,143539.52249150365,20603594517.088882,3267903.0,3821005.0,30
UG-2,manufacturer,China_National,388010.17914290755,59957.13976479981,3594858608.7757387,310920.01065364503,518100.01065364503,30
UG-2,manufacturer,GSK,704494.6666666666,85996.4955384165,7395397244.888887,607870.0,901190.0,30
UG-2,manufacturer,Haffkine_Bio,81200.0,0.0,0.0,81200.0,81200.0,30
UG-2,manufacturer,LG_Chem,19791240.41321333,739491.2584220796,546847321282.67096,17579390.0,20747660.0,30
UG-2,manufacturer,Merck_Sharp,26290.207544073088,12761.615075765152,162858819.3419964,0.9613026535354373,49000.19962342987,30
